model,mdtyp,rgtyp,errcd,mdcap,orgzn,iccap,icvlt,rtdsp,tming,icpkg,icmfg,icbnd,icmdl,rgvnd,flvnd,mpmic,pcvnd,notes,insrc
CRAS XR5 KD5AGUA80-62E400S,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,"1.1v (Base), 1.3v (XMP)","DDR5-4800 (Base), DDR5-6200 (XMP)","40-40-40-77-117 (Base), 40-42-42-78-120 (XMP)",,SK hynix,SK hynix,H5CG48MEBDX014 (M-die),N/A,Montage Technology STA5 153 661,Richtek 0D=9B M4B,,,TechPowerUp: https://www.techpowerup.com/review/klevv-cras-xr5-dd5-6200-cl40/3.html
KD5AGUA80-72B360S,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.4v,DDR5-7200 (OC) DDR5-4800 (Base),36-46-46-102 (OC),,SK hynix,SK hynix,A-die,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
KD5AGUA80-72B360Q,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.4v,DDR5-7200 (OC) DDR5-4800 (Base),36-46-46-102 (OC),,SK hynix,SK hynix,A-die,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
KD5AGUA80-70B360S,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.4v,DDR5-7000 (OC) DDR5-4800 (Base),36-46-46-82 (OC),,SK hynix,SK hynix,A-die,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
KD5AGUA80-70B360Q,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.4v,DDR5-7000 (OC) DDR5-4800 (Base),36-46-46-82 (OC),,SK hynix,SK hynix,A-die,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
KD5AGUA80-62E400Z,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.3v,DDR5-6200 (OC) DDR5-4800 (Base),40-42-42-78 (OC),,SK hynix,SK hynix,,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
KD5AGUA80-62E400Y,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.3v,DDR5-6200 (OC) DDR5-4800 (Base),40-42-42-78 (OC),,SK hynix,SK hynix,,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
KD5AGUA80-56K380Y,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.25v,DDR5-5600 (OC) DDR5-4800 (Base),38-38-38-78 (OC),,SK hynix,SK hynix,,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
KD5AGUA80-56G460D,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.1v,DDR5-5600 (OC) DDR5-5600 (Base),46-46-46-90 (OC),,SK hynix,SK hynix,,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
KD5AGUA80-56G4600,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.1v,DDR5-5600 (OC) DDR5-5600 (Base),46-46-46-90 (OC),,SK hynix,SK hynix,,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
KD58GU880-48G4000,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.1v,DDR5-4800 (OC) DDR5-4800 (Base),40-40-40-77 (OC),,SK hynix,SK hynix,A-die,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
KD5AGUA8M-48G4000,DIMM,Unbuffered,non-ECC,16 GiByte,1Rx8,16 Gibit,1.1v,DDR5-4800 (OC) DDR5-4800 (Base),40-40-40-77 (OC),,SK hynix,SK hynix,,N/A,,,,,Gigabyte Z790 AORUS MASTER QVL: https://www.gigabyte.com/Motherboard/Z790-AORUS-MASTER-rev-10/support#support-memsup
